"film","directors","writers","countries"
"Nuvvostanante Nenoddantana","Prabhu Deva Sundaram","M. S. Raju","Bhārat Gaṇarājya; India"
"Double Harness","Elwood Dager Cromwell","Jane Murfin","the United States"
"My Sister's Keeper","Nicholas David Rowland Cassavetes","Jeremy Leven; Nick Cassavetes","the United States"
"Mashaal","Yash Chopra","Javed Akhtar","Bhārat Gaṇarājya; India"
"Blacktop","Timothy James Scott","T.J. Scott","Canada"
"Thaniniram","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Le Ménage moderne Du Madame Butterfly","Natan Tannenzaft or Natan Tanenzapf","Bernard Natan","France"
"Who Is Killing the Great Chefs of Europe?","William Theodore Kotcheff","Peter Stone","''; Federal Republic of Germany; West Germany"
"Behind the Sun","Walter Moreira Salles, Jr.","Daniela Thomas; João Moreira Salles; Karim Aïnouz; Sérgio Machado; Walter Salles","Brazil"
"Mukhamukham (Face to Face)","Moutathu Gopalakrishnan Unnithan","Adoor Gopalakrishnan","Bhārat Gaṇarājya; India"
"Deep Cover","William Henry Duke, Jr.","Henry Bean; Michael Tolkin","the United States"
"A Man Apart","Felix Gary Gray","Christian Gudegast; Paul Scheuring; Paul T. Scheuring","the United States"
"Watchmen","Zachary Edward Snyder","Alex Tse; David Hayter","the United States"
"Tales of The Kama Sutra 2 : Monsoon","Jagmohan Mundhra","Jag Mundhra","Bhārat Gaṇarājya; India"
"Dancer in the Dark","Lars Trier","Lars von Trier","Denmark"
"Pan's Labyrinth","Guillermo del Toro Gómez","Guillermo del Toro","Mexico; Spain"
"The Family Jewels","Joseph Levitch","Bill Richmond; Jerry Lewis","the United States"
"நீர்க்குமிழி","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Apache Woman","Roger William Corman","Lou Rusoff","the United States"
"Monga(MILAGROS)","Niu Chen-Zer","Doze Niu","Taiwan"
"Bhowani Junction","George Dewey Cukor","Ivan Moffat; Sonya Levien","Pakistan"
"U-Carmen eKhayelitsha","Mark Dornford-May","Mark Dornford-May","South Africa"
"Eleni","Peter James Yates","Nicholas Gage; Steve Tesich","the United States"
"Sorgam","Thanjavur Ranganayaki Ramachandran","Sakthi T. K. Krishnasamy","Bhārat Gaṇarājya; India"
"Shola aur Shabnam","Rajinder Dhawan","Anees Bazmee","Bhārat Gaṇarājya; India"
"Krishna Nee Begane Baro","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Sigamani Ramamani","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"The Wrong Move","Ernst Wilhelm Wenders","Peter Handke","''; Federal Republic of Germany; West Germany"
"Oru Sindoora Pottinte Ormaykku","Salim Ahmed Ghoush","Cochin Haneefa","Bhārat Gaṇarājya; India"
"Dosth","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"The Suram Fortress","Ivan Nikolaevich Perestiani","Daniel Chonkadze; Ivan Perestiani","Georgian Soviet Army; Georgian Soviet Socialist Republic; Грузинская Советская Социалистическая Республика Gruzinskaya Sovetskaya Sotsialisticheskaya Respublika; საქართველოს საბჭოთა სოციალისტური რესპუბლიკა"
"Sweet Rush","Andrzej Witold Wajda","Andrzej Wajda","Poland"
"Siberian Lady Macbeth","Andrzej Witold Wajda","Nikolai Leskov","Poland"
"Paara","Ashraf","Alleppey Ashraf","Bhārat Gaṇarājya; India"
"Wild Orchid II: Two Shades of Blue","Zalman King Lefkowitz","Zalman King","the United States"
"Partner","Rajinder Dhawan","David Dhawan; Sanjay Chhel","Bhārat Gaṇarājya; India"
"Jayasimha","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"Geography Club","Gary Steven Entin","Edmund Entin","the United States"
"The Japanese Wife","Aparna","Aparna Sen","Japan"
"Minimol Vathicanil","Joshi","Kaloor Dennis","Bhārat Gaṇarājya; India"
"Hu Tu Tu","Sampooran Singh Kalra","Gulzar; Meghna Gulzar","Bhārat Gaṇarājya; India"
"Olympia","Helene Bertha Amalie Riefenstahl","Leni Riefenstahl","Germany"
"Summer of the Monkeys","Michael Joseph Anderson, Sr.","Wilson Rawls; Woodrow Wilson Rawls","Canada"
"The Woman in Black","James Thomas Watkins","Jane Goldman","United Kingdom; the United States"
"Manslaughter","Per Fly Plejdrup","Mogens Rukov; Per Fly","Denmark"
"Les malheurs d'Alfred","Pierre-Richard Maurice Charles Léopold Defays","Pierre Richard; Yves Robert","France"
"Onegin","Martha Maria Twisleton-Wykeham-Fiennes","Michael Ignatieff","United Kingdom"
"Soleil O","Mohamed Abid Hondo","Med Hondo","Mauritania"
"Ladies’ Night","Gabriela Tagliavini","Issa López","Mexico"
"Bugambilia","Emilio Fernández Romo","Emilio Fernández; Mauricio Magdaleno","Mexico"
"Kabhi Kabhie","Yash Chopra","Pamela Chopra","Bhārat Gaṇarājya; India"
"A Tale of Love and Darkness","Neta-Lee Hershlag","Natalie Portman","Israel"
"Asso","Franco Castellano; Giuseppe Moccia","Castellano & Pipolo; Castellano and Pipolo","Italy"
"Annai","Manobala","Manobala","Bhārat Gaṇarājya; India"
"Picnic","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Theekkanal","Madhavan Nair","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Bandolero!","Andrew Victor McLaglen","James Lee Barrett; Stan Hough","the United States"
"Deadline","Colin James Nutley","Colin Nutley; Johanna Hald; Liza Marklund","Konungariket Sverige; Sweden"
"An Inconvenient Truth","Philip Davis Guggenheim","Al Gore","the United States"
"Sira` Fi al-Mina","Youssef Gabriel Chahine","Youssef Chahine","Egypt"
"Filming 'The Trial'","George Orson Welles","Orson Welles","the United States"
"The iDol","Norman England","Norman England","Japan"
"Big Wednesday","John Frederick Milius","John Milius","the United States"
"Bad Eggs","Anthony Francis Martin","Tony Martin","Australia"
"The Vagabond Lover","Marshall Ambrose Neilan","James Ashmore Creelman","the United States"
"Calle 54","Fernando Rodríguez Trueba","Fernando Trueba","France; Italy; Spain"
"Aaraadhana","Madhavan Nair","Dr. George Onakkoor; George Onakkoor","Bhārat Gaṇarājya; India"
"Remembrance","Stéphanie Grace Morgenstern","Mark Ellis; Stephanie Morgenstern","Canada"
"My Monster Mom","Jose Javier Reyes","Jose Javier Reyes; José Javier Reyes","Republika ng Pilipinas; the Philippines"
"They Who Dare","Leib Milstein","Robert Westerby","United Kingdom"
"Contract","Penmetsa Ram Gopal Varma","Prashant Pandey; Ram Gopal Varma; రాం గోపాల్ వర్మ","Bhārat Gaṇarājya; India"
"Land and Freedom","Kenneth Charles Loach","Jim Allen","Deutsches Reich; German Reich; Weimar Republic"
"B.C. Rock","Jean-Paul Walravens","Jim Vallely; Jonathan Schmock; Picha; Tony Hendra","Belgium; France"
"Hum Aapke Dil Mein Rehte Hain","Satish Chandra Kaushik","Jainendra Jain; Jainendra K. Jain; Satish Kaushik","Bhārat Gaṇarājya; India"
"Tough Guys","Jeffrey Roger Kanew","James Joseph Orr; James Orr","the United States"
"Bulldog Jack","Thomas Seymour Woolford","Gerard Fairlie; H. C. McNeile; J. O. C. Orton; J.O.C. Orton; Jack Hulbert; Sidney Gilliat","United Kingdom"
"101 Reykjavík","Baltasar Kormákur Samper","Baltasar Kormákur; Hallgrimur Helgason; Hallgrímur Helgason","Iceland; Lýðveldið Ísland"
"Dheera","Joshi","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Hit Man","George Brendan Armitage","George Armitage; Ted Lewis","the United States"
"Blackjack","Colin James Nutley","Colin Nutley; Johanna Hald","Konungariket Sverige; Sweden"
"Eddy","Simone Borrelli","Simone Borrelli","Italy"
"The Girl in the Crowd","Michael Latham Powell","Brock Williams","United Kingdom"
"Police Academy 2:","William Gerald Paris","Barry W. Blaustein; David Sheffield","the United States"
"Witching & Bitching","Alejandro de la Iglesia Mendoza","Jorge Guerricaechevarría","Spain"
"The Bucket List","Robert Reiner","Justin Zackham","the United States"
"Ciao, Professore!","Arcangela Felice Assunta Wertmüller von Elgg Español von Braueich","Andrej Longo; Leonardo Benvenuti; Lina Wertmüller; Piero De Bernardi","Italy"
"The Shooter","William Theodore Kotcheff","Billy Ray","the United States"
"Somebody Killed Her Husband","Ernest Lamont Johnson, Jr.","Reginald Rose","the United States"
"Refugee","Jyoti Prakash Dutta","J. P. Dutta","Bhārat Gaṇarājya; India"
"Kanyadaan","Munin Barua","Munin Barua","Bhārat Gaṇarājya; India"
"Devdas","Pramatesh Chandra Barua","Pramathesh Barua; Prathmesh Barua","India"
"A Year in the Death of Jack Richards","Benjamin Patrick Paquette","B. P. Paquette","Canada"
"Bride Wars","Gary Scott Winick","Casey Wilson; June Diane Raphael","the United States"
"Socrates","Roberto Gastone Zeffiro Rossellini","Jean-Dominique de La Rochefoucauld; Marcella Mariani; Renzo Rossellini; Roberto Rossellini","France; Italy; Spain"
"Prem","Satish Chandra Kaushik","Javed Akhtar","Bhārat Gaṇarājya; India"
"(A Soft Note on a Sharp Scale)","Ritwik Kumar Ghatak","Ritwik Ghatak","Bhārat Gaṇarājya; India"
"Xuoi nguoc duong tran","Nguyễn Linh Nga","Linh Nga","Vietnam"
"A Trick of Light","Ernst Wilhelm Wenders","Veit Helmer; Wim Wenders","Germany"
"The Innocent","John Richard Schlesinger","Ian McEwan","Germany; United Kingdom"
"Naadan Premam","K. Velayudan Nair","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"The People of Angkor","Panh Rithy","Rithy Panh","Cambodia; France; Preăh Réachéanachâk Kâmpŭchéa"
"El diputado","Eloy Germán de la Iglesia Diégue","Eloy de la Iglesia","Spain"
"The Scarlet Blade","John Gilling","John Gilling","United Kingdom"
"Runaway","John Michael Crichton","Michael Crichton","the United States"
"Cynthia","Robert Zigler Leonard","Buster Keaton; Charles Kaufman","the United States"
"Blue Thunder","John MacDonald Badham","Dan O'Bannon","the United States"
"Thanedaar","Raj Sippy","Vinay Shukla","Bhārat Gaṇarājya; India"
"Nee Thanda Kanike","Bungle Shama Rao Dwarakanath","Dwarakish","Bhārat Gaṇarājya; India"
"The Hobbit","Peter Robert Jackson","Fran Walsh; Guillermo del Toro; Peter Jackson; Philippa Boyens","Aotearoa (Māori); New Zealand"
"Bazaar","Ganga Sagar Talwar","Sagar Sarhadi","Bhārat Gaṇarājya; India"
"Some Folks Call It a Sling Blade","George Loening Hickenlooper III","Billy Bob Thornton","the United States"
"Ashok","Patthi Surender Reddy","Gopimohan; Surender Reddy; Vakkantham Vamsi","Bhārat Gaṇarājya; India"
"Tabbaliyu Neenade Magane","Babukodi Venkataramana Karanth; Girish Raghunath Karnad; ಗಿರೀಶ್ ಕಾರ್ನಾಡ್","B. V. Karanth; Girish Karnad; S. L. Bhyrappa; S.L. Bhyrappa","Bhārat Gaṇarājya; India"
"Songs from the Second Floor","Roy Arne Lennart Andersson","Roy Andersson","Denmark; Konungariket Sverige; Norway; Sweden"
"Two Much","Fernando Rodríguez Trueba","David Trueba; Fernando Trueba","the United States"
"I, Robot","Alexander Proyas","Akiva Goldsman; Jeff Vintar","the United States"
"Another Nice Mess","Stewart Robert Einstein","Bob Einstein","the United States"
"The Man Who Sued God","Mark Joffe","Don Watson; John Clarke","Australia"
"Cobra Verde","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"The Return Of Charlie Chan","Leslie Herbert Martinson","Earl Derr Biggers","the United States"
"The Golden Boat","Joaquín Pardavé Arce","Carlos Orellana; Tito Davison","Mexico"
"Prem Aamar","Raj Chakraborty","K. Selvaraghavan; Selvaraghavan","Bhārat Gaṇarājya; India"
"The Farmer's Wife","Norman Harold Lee","Eden Phillpotts; Leslie Arliss; Norman Lee","United Kingdom"
"Aparaajitha","Nambiathusseril Varkey John","J. Sasikumar","Bhārat Gaṇarājya; India"
"Boomerang!","Elias Kazantzoglou","Richard Murphy","the United States"
"Coma","John Michael Crichton","Michael Crichton","the United States"
"The Old New Year","Oleg Nikolayevich Yefremov","Mikhail Roshchin","Soviet Union (USSR); Union of Soviet Socialist Republics"
"A Frozen Flower","Kim Young-joon","Yoo Ha","South Korea"
"Zara Si Zindagi","Kailasam Balachander","Gulzar; K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Lost in Translation","Sofia Carmina Coppola","Sofia Coppola","the United States"
"Scenes from a Mall","Irwin Lawrence Mazursky","Paul Mazursky; Roger L. Simon","the United States"
"Arachnophobia","Frank Wilton Marshall","Wesley Strick","the United States"
"Vanna Vanna Pookkal","Balanathan Benjamin Mahendran","Balu Mahendra","Bhārat Gaṇarājya; India"
"The Business","Nick Love","Nick Love","Spain"
"Sinbad of the Seven Seas","Enzo Girolami Castellari","Enzo G. Castellari","Italy"
"Kisapmata","Miguel Pamintuan de Leon","Clodualdo del Mundo, Jr; Clodualdo del Mundo, Jr.; Mike De Leon","Republika ng Pilipinas; the Philippines"
"Ee Jeeva Ninagagi","Venkatappa Somashekhar","P. Vasu","Bhārat Gaṇarājya; India"
"Cold Hearts","Robert Angelo Masciantonio","Robert A. Masciantonio","the United States"
"Tik! Tik! Tik!","Chinnasaamy Periyamayathevar","P. Bharathiraja","Bhārat Gaṇarājya; India"
"Pillai Nila","Manobala","P. Kalaimani","Bhārat Gaṇarājya; India"
"King, Queen, Joker","Sydney John Hill","Sydney Chaplin","the United States"
"Gemini","K. V. Saravanan","Saran","Bhārat Gaṇarājya; India"
"(La notte che Evelyn uscì dalla tomba)","Emilio Paolo Miraglia","Emilio Miraglia; Fabio Pittorru; Massimo Felisatti","Italy"
"Daawat-e-Ishq","Habib Faisal","Habib Faisal","Bhārat Gaṇarājya; India"
"Ambi","Nagendra Prasad","Dr. V. Nagendra Prasad; V. Nagendra Prasad","Bhārat Gaṇarājya; India"
"Shanti Kranti","Veerasamy Ravichandran","Dr.Hamsalekha; Hamsalekha; V Ravichandaran; V. Ravichandran","Bhārat Gaṇarājya; India"
"Stamboul Quest","Samuel Grosvenor Wood","Herman J. Mankiewicz; Richard Schayer","the United States"
"Super","Upendra Rao","Upendra","Bhārat Gaṇarājya; India"
"Randu Lokam","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Banashankari","Kikkeri Shamanna Lakshminarasimha Swamy","K. S. L. Swamy","Bhārat Gaṇarājya; India"
"Mathilukal","Moutathu Gopalakrishnan Unnithan","Adoor Gopalakrishnan","Bhārat Gaṇarājya; India"
"Poetic Justice","John Daniel Singleton","John Singleton","the United States"
"Teenage Doll","Roger William Corman","Charles B. Griffith","the United States"
"Flamenco","Carlos Saura Atarés","Carlos Saura","Spain"
"Shivaay","Vishal Veeru Devgan","Robin Bhatt","Bhārat Gaṇarājya; India"
"Once Upon a Time in Vietnam","Nguyen Xuan Tri","Dustin Nguyen","Vietnam"
"People Who Travel","Jacques Léon Louis Frédérix","Jacques Feyder; Jacques Viot","France"
"Shorts: The Adventures of the Wishing Rock","Robert Anthony Rodríguez","Robert Rodriguez","United Arab Emirates; the United States"
"Vera Cruz","Robert Burgess Aldrich","Roland Kibbee","the United States"
"Fat City","John Marcellus Huston","Leonard Gardner","the United States"
"Karna","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Juana La Loca","Vicente Aranda Ezquerra","Vicente Aranda","Italy; Portugal; Spain"
"Johnny Stecchino","Roberto Remigio Benigni","Roberto Benigni; Vincenzo Cerami","Italy"
"June Bride","Ernest Bretaigne Windust","Ranald MacDougall","the United States"
"Billion Dollar Brain","Henry Kenneth Alfred Russell","Len Deighton","United Kingdom"
"Tulasi","Boyapati Srinivas","Boyapati Srinu","Bhārat Gaṇarājya; India"
"The Hills Have Eyes","Alexandre Jouan-Arcady","Alexandre Aja; Grégory Levasseur","the United States"
"Tres Mujeres en la Hoguera","Abel Salazar García","Luis Alcoriza","Mexico"
"Girls' School","Hans Brahm","Tess Slesinger","the United States"
"Muthal Vasantham","Manivannan Rajagopal S","Manivannan; S Manivannan","Bhārat Gaṇarājya; India"
"青の炎","にながわ ゆきお","Yukio Ninagawa; Yusuke Kishi; 蜷川幸雄","Japan"
"Cinta Pertama","Steve Liem Tjoan Hok","Teguh Karya","Indonesia; Republik Indonesia"
"A Dangerous Method","David Paul Cronenberg","Christopher Hampton","Canada; Germany; United Kingdom"
"Alli Arjuna","K. V. Saravanan","Saran","Bhārat Gaṇarājya; India"
"Jayikkaanaay Janichavan","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Bullet","K. Velayudan Nair; Sattiraju Lakshminarayana","Chakrapani; Mullapudi Venkata Ramana","Bhārat Gaṇarājya; India"
"Gangmaster","B Gopal","Mahesh Bhatt","Bhārat Gaṇarājya; India"
"Harpya","Raoul Servais","Raoul Servais","Belgium"
"Ariyappedatha Rahasyam","Pattathil Venugopalan Menon","P. Venu","Bhārat Gaṇarājya; India"
"The Hour of Truth","John Hoeffer","Norman Foster","Mexico"
"Sixth and Main","Bruce Doggett","Christopher Cain","the United States"
"Came a Hot Friday","Ian Barry Mune","Dean Parker; Ian Mune; Ronald Hugh Morrieson","Aotearoa (Māori); New Zealand"
"Love-stricken (","Ali Hatami","Ali Hatami","Iran"
"La bottega dell'orefice","Michael Joseph Anderson, Sr.","Jeff Andrus","Austria; Canada; Germany; Italy"
"Whisky","Pablo Stoll","Juan Pablo Rebella; Pablo Stoll","''; Argentina; Germany; Spain; Uruguay"
"Ombyte av tåg","Hans Gösta Ekman","Hasse Ekman","Konungariket Sverige; Sweden"
"Avasara Police 100","Krishnasaamy Bhagyaraj","K Bhagyaraj; K. Bhagyaraj","Bhārat Gaṇarājya; India"
"Peter Pan","Clito Enrico Geronimi; Hamilton Somers Luske","Bill Peet; Ralph Wright; Ted Sears","the United States"
"Almost Heroes","Christopher Haden-Guest","Tom Wolfe","the United States"
"Cervantes","Abraham Orovitz","Enrico Bomba","France; Italy; Spain"
"Amantes","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"The Guv'nor","Arthur Milton Lunt","Guy Bolton","United Kingdom"
"Akhil-The Power Of Jua","Gandrothu Veera Venkata Vinayak","Kona Venkat; కోన వెంకట్","Bhārat Gaṇarājya; India"
"Cold Turkey","Norman Milton Lear","Norman Lear; William Price Fox","the United States"
"Angela's Ashes","Alan William Parker","Alan Parker; Laura Jones; Sir Alan Parker","Ireland"
"Invictus","Clinton Eastwood Jr.","Anthony Peckham","South Africa"
"(Die Spinnen)","Friedrich Christian Anton Lang","Fritz Lang","Deutsches Reich; German Reich; Weimar Republic"
"A Bridge Too Far","Richard Samuel Attenborough","William Goldman","the United States"
"(","Alexandre-Pierre Georges Guitry","Sacha Guitry","France"
"13 Rue Madeleine","Marquis Henri Léopold de Fiennes","Sy Bartlett","the United States"
"Horror y sexo","André René Cardona","René Cardona; René Cardona Jr.","Mexico"
"Kariya","Kiran Kumar","Prem","Bhārat Gaṇarājya; India"
"Kodumudikal","Nambiathusseril Varkey John","Chirayinkeezhu Ramakrishnan Nair","Bhārat Gaṇarājya; India"
"No One Writes to the Colonel","Arturo Ripstein y Rosen","Gabriel García Márquez; Paz Alicia Garciadiego","Mexico"
"Professor Mamlock","Herbert Rappaport","Friedrich Wolf","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Tesis","Alejandro Fernando Amenábar Cantos","Alejandro Amenábar; Mateo Gil","Spain"
"Lorry Girl","Sandeep Kumar Pampally","Sandeep Pampally","Bhārat Gaṇarājya; India"
"Kanyaka","Nambiathusseril Varkey John","J. Sasikumar","Bhārat Gaṇarājya; India"
"The Firebird","Hans Gösta Ekman","Hasse Ekman","Konungariket Sverige; Sweden"
"Aranyadalli Abhimanyu","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Sardaar Gabbar Singh","Kolli Santosh Ravindranath","Pawan Kalyan; S. Shivgopal Krishna; Shivgopal Krishna","Bhārat Gaṇarājya; India"
"Cosmopolis","David Paul Cronenberg","David Cronenberg","Canada; France; Italy; Portugal"
"Daughter of Deceit","Luis Buñuel Portolés","Luis Alcoriza","Mexico"
"Batman v Superman: Dawn of Justice","Zachary Edward Snyder","Chris Terrio; David S. Goyer","the United States"
"Mula sa Puso","Edwin Villanes Deramas","Ruel S. Bayani","Republika ng Pilipinas; the Philippines"
"Fool &#38; Final","Ahmed Khan","Umesh Shukla","Bhārat Gaṇarājya; India"
"Bhakta Prahlada","ವಿಜಯ್","Vijay","Bhārat Gaṇarājya; India"
"Bombay Velvet","Anurag Singh Kashyap","Gyan Prakash","Bhārat Gaṇarājya; India"
"Le Corps de mon ennemi","Ashot Malakian","Félicien Marceau; Henri Verneuil; Michel Audiard","France"
"The Taking of Power by Louis XIV","Roberto Gastone Zeffiro Rossellini","Jean Gruault","France"
"When You're Strange","Thomas A. DiCillo","Tom DiCillo","the United States"
"New Delhi","Joshi","Dennis Joseph","Bhārat Gaṇarājya; India"
"Villain 2013","Pushparag Roy Choudhury","Tota Roy Choudhury; Tota Roy Chowdhury","Bhārat Gaṇarājya; India"
"An Angel at My Table","Elizabeth Jane Campion","Laura Jones","Aotearoa (Māori); New Zealand"
"Kiltro","Ernesto José Díaz Espinoza","Ernesto Díaz Espinoza","Chile"
"Ties that Bind","Leila Afua Djansi","Leila Afua Djansi; Leila Djansi","Ghana"
"Ottayan","K. Velayudan Nair","Cheri Viswanath","Bhārat Gaṇarājya; India"
"Sebbe","Babak Najafi Karami","Babak Najafi","Finland; Konungariket Sverige; Sweden; font-size:88%;"
"Paritchaikku Neramaachu","Venkatachary Srinivasan","""Vietnam Veedu"" Sundaram; Vietnam Veedu Sundaram","Bhārat Gaṇarājya; India"
"Silkwood","Mikhail Igor Peschkowsky","Alice Arlen; Nora Ephron","the United States"
"The Voroshilov Shooter","Stanislav Sergeyevich Govorukhin","Stanislav Govorukhin","Russia"
"Detective 909 Keralathil","Pattathil Venugopalan Menon","P. J. Antony; P. Venu; പി.ജെ. ആന്റണി","Bhārat Gaṇarājya; India"
"His Ward's Love","David Wark Griffith","D. W. Griffith","the United States"
"Heist","David Alan Mamet","David Mamet","Canada; the United States"
"Dhruvasangamam","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Havana","Sydney Irwin Pollack","David Rayfiel","the United States"
"Buddhimantudu","Sattiraju Lakshminarayana","Mullapudi Venkata Ramana","Bhārat Gaṇarājya; India"
"Heller in Pink Tights","George Dewey Cukor","Dudley Nichols; Louis L'Amour; Walter Bernstein","the United States"
"A Tiger's Tale","Peter Vincent Douglas","Peter Douglas","the United States"
"Coast to Coast","Giuseppe Danielle Sorgente","Stanley Weiser","the United States"
"Mr. Magorium's Wonder Emporium","Zachary E. Helm","Zach Helm","Canada; the United States"
"Akshayapaathram","Nambiathusseril Varkey John","Kedamangalam Sadanandan; Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Ikaw Ang Pag-ibig","Marilou Díaz","Marilou Diaz-Abaya; Marilou Díaz-Abaya","Republika ng Pilipinas; the Philippines"
"Les deux orphelines vampires","Jean Michel Rollin Roth Le Gentil","Jean Rollin","France"
"East Lynne","Frank William George Lloyd","Bradley King; Tom Barry","the United States"
"December 31","Manobala","Manobala","Bhārat Gaṇarājya; India"
"Verwitterte Melodie","Hans Fischer","Horst von Möllendorff","Deutsches Reich (1933–43); German Reich; Germany; Großdeutsches Reich (1943–45)"
"Pratisodh","Sukhendranath Das","Sukhen Das","Bhārat Gaṇarājya; India"
"World's Greatest Dad","Robert Francis Goldthwait","Bobcat Goldthwait","the United States"
"Aaina","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Veettuku Veedu","Chithamur Vijayaraghavulu Rajendran","Chitralaya Gopu","Bhārat Gaṇarājya; India"
"Exiles","Michel Dahmani","Lubna Azabal; Tony Gatlif","France"
"Umrao Jaan","Jyoti Prakash Dutta","Neeraj Vora","Bhārat Gaṇarājya; India"
"(Telugu: ''","K. B. Nagabhushanam","Panuganti Lakshminarasimha Rao","Bhārat Gaṇarājya; India"
"Maskerade","Wilhelm Anton Frohs","Walter Reisch; Willi Forst","Austria"
"Paanch Ghantey Mein Paanch Crore","Faisal Abdul Razzak Saif Al Zedjally","Faisal Saif","Bhārat Gaṇarājya; India"
"Naalaiya Theerpu","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Kamakalawa","Edgar Sinco Romero","Eddie Romero","Republika ng Pilipinas; the Philippines"
"Paththini","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"Salt for Svanetia","Mikheil Konstantinovich Kalatozishvili","Mikhail Kalatozov; Sergei Tretyakov","Georgian Soviet Army; Georgian Soviet Socialist Republic; Soviet Union (USSR); Union of Soviet Socialist Republics; Грузинская Советская Социалистическая Республика Gruzinskaya Sovetskaya Sotsialisticheskaya Respublika; საქართველოს საბჭოთა სოციალისტური რესპუბლიკა"
"High Tide","Gillian May Armstrong","Laura Jones","Australia"
"The Color of Paradise","Majid Majidi","Majid Majidi","Iran"
"Bhale Huduga","Thanjavur Ranganayaki Ramachandran","T. R. Ramanna; Thanjavur Ranganayaki Ramanna","Bhārat Gaṇarājya; India"
"Aranjaanam","Pattathil Venugopalan Menon","P. Venu","Bhārat Gaṇarājya; India"
"Ezhuthatha Sattangal","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Harikrishnans","A.M. Fazil","A. M. Fazil; Fazil","Bhārat Gaṇarājya; India"
"Gundamma Gari Krishnulu","Relangi Narsimha Rao","Relangi Narasimha Rao; Relangi Narsimha Rao","Bhārat Gaṇarājya; India"
"Night Duty","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Morena Clara","Luis Lucia Mingarro","Luis Lucia; Luis Lucia Mingarro","Spain"
"Yudhakaandam","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Rambo","Sylvester Gardenzio Stallone","Sylvester Stallone","the United States"
"Dhanya","A.M. Fazil","A. M. Fazil; Fazil","Bhārat Gaṇarājya; India"
"The Annunciation of Marie","René Xavier Marie Alain Cuny","Alain Cuny; Paul Claudel","Canada; France"
"High","Laurence Kent","Larry Kent","Canada"
"The Belle Starr Story","Arcangela Felice Assunta Wertmüller von Elgg Español von Braueich","Lina Wertmüller","Italy"
"A Carol for Another Christmas","Joseph Leo Mankiewicz","Rod Serling","the United States"
"Usha Parinayam","K. B. Nagabhushanam","Samudrala Ramanujacharya","Bhārat Gaṇarājya; India"
"Bekas","Karzan Abdulkarim Kader","Karzan Kader","Finland; Iraq; Konungariket Sverige; Sweden; font-size:88%;"
"Umaanilayam","Joshi","Cochin Haneefa","Bhārat Gaṇarājya; India"
"Chapala Chennigaraya","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Itlu Sravani Subramanyam","Puri Jagannadh","Puri Jagannadh","Bhārat Gaṇarājya; India"
"Ek Hi Raasta","Mehboob Khan Ramzan Khan","Wajahat Mirza; Wajahat Mirza Changezi","Bhārat Gaṇarājya; India"
"Chigurida Kanasu","Talakadu Srinivasaiah Nagabharana","Jayant Gourish Kaikini; Jayant Kaikini; T. S. Nagabharana","Bhārat Gaṇarājya; India"
"Kontroll (control)","Nimród E. Antal","Nimród Antal","Hungary"
"The Tit and the Moon","Josep Joan Bigas i Luna","Bigas Luna","France; Spain"
"The Adventures of Marco Polo","Archibald L. Mayo; John Martin Feeney","Robert E. Sherwood","the United States"
"Strength and Honour","Mark John Mahon","Mark Mahon","Ireland"
